Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_ledebug\Project Outputs for UZ_D_LEDebug\Rev01\Pick Place\Pick Place for UZ_D_LEDebug(Default).csv

========================================================================================================================
File Design Information:

Date:       20.02.25
Time:       20:57
Revision:   aafbf43f42fe2d9cb71c0c501b8a48981b78de7c
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","76.4000","76.4000","11.3100","76.4000","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","80.7000","80.7000","11.3100","80.7000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","13.7000","13.7000","85.0000","85.0000","11.3100","85.0000","0","Littelfuse_PTC_1812","TopLayer"
"C1","C_0603","16.6000","16.6000","35.2972","35.2972","17.3000","35.2972","180","100 nF","TopLayer"
"U1","D0008A_N","14.5000","14.5000","31.9000","31.9000","11.7750","33.8050","0","M24C02-WMN6TP","TopLayer"
"R2Z","R_0603_TE","132.0000","132.0000","19.0000","19.0000","132.7300","19.0000","90","470R","TopLayer"
"R2Y","R_0603_TE","132.0000","132.0000","22.0000","22.0000","132.7300","22.0000","90","470R","TopLayer"
"R2X","R_0603_TE","132.0000","132.0000","25.0000","25.0000","132.7300","25.0000","90","470R","TopLayer"
"R2W","R_0603_TE","132.0000","132.0000","28.0000","28.0000","132.7300","28.0000","90","470R","TopLayer"
"R2V","R_0603_TE","132.0000","132.0000","31.0000","31.0000","132.7300","31.0000","90","470R","TopLayer"
"R2U","R_0603_TE","132.0000","132.0000","34.0000","34.0000","132.7300","34.0000","90","470R","TopLayer"
"R2T","R_0603_TE","132.0000","132.0000","37.0000","37.0000","132.7300","37.0000","90","470R","TopLayer"
"R2S","R_0603_TE","132.0000","132.0000","40.0000","40.0000","132.7300","40.0000","90","470R","TopLayer"
"R2R","R_0603_TE","132.0000","132.0000","43.0000","43.0000","132.7300","43.0000","90","470R","TopLayer"
"R2Q","R_0603_TE","132.0000","132.0000","46.0000","46.0000","132.7300","46.0000","90","470R","TopLayer"
"R2P","R_0603_TE","132.0000","132.0000","49.0000","49.0000","132.7300","49.0000","90","470R","TopLayer"
"R2O","R_0603_TE","132.0000","132.0000","52.0000","52.0000","132.7300","52.0000","90","470R","TopLayer"
"R2N","R_0603_TE","132.0000","132.0000","55.0000","55.0000","132.7300","55.0000","90","470R","TopLayer"
"R2M","R_0603_TE","132.0000","132.0000","58.0000","58.0000","132.7300","58.0000","90","470R","TopLayer"
"R2L","R_0603_TE","132.0000","132.0000","61.0000","61.0000","132.7300","61.0000","90","470R","TopLayer"
"R2K","R_0603_TE","132.0000","132.0000","64.0000","64.0000","132.7300","64.0000","90","470R","TopLayer"
